STATE,STATENAME,ST_CASE,VEH_NO,PER_NO,MTM_CRSH,MTM_CRSHNAME
41,Oregon,410350,0,1,2,Failure to Yield Right-Of-Way
41,Oregon,410353,0,1,0,None Noted
41,Oregon,410369,0,1,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
41,Oregon,410390,0,1,0,None Noted
41,Oregon,410393,0,1,2,Failure to Yield Right-Of-Way
41,Oregon,410395,0,1,0,None Noted
41,Oregon,410396,0,1,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
41,Oregon,410396,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
41,Oregon,410402,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
41,Oregon,410413,0,1,0,None Noted
41,Oregon,410414,0,1,0,None Noted
41,Oregon,410415,0,1,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
