STATE,STATENAME,ST_CASE,PEDS,PERNOTMVIT,VE_TOTAL,VE_FORMS,PVH_INVL,PERSONS,PERMVIT,COUNTY,COUNTYNAME,CITY,CITYNAME,MONTH,MONTHNAME,DAY,DAYNAME,DAY_WEEK,DAY_WEEKNAME,YEAR,HOUR,HOURNAME,MINUTE,MINUTENAME,TWAY_ID,TWAY_ID2,ROUTE,ROUTENAME,RUR_URB,RUR_URBNAME,FUNC_SYS,FUNC_SYSNAME,RD_OWNER,RD_OWNERNAME,NHS,NHSNAME,SP_JUR,SP_JURNAME,MILEPT,MILEPTNAME,LATITUDE,LATITUDENAME,LONGITUD,LONGITUDNAME,HARM_EV,HARM_EVNAME,MAN_COLL,MAN_COLLNAME,RELJCT1,RELJCT1NAME,RELJCT2,RELJCT2NAME,TYP_INT,TYP_INTNAME,REL_ROAD,REL_ROADNAME,WRK_ZONE,WRK_ZONENAME,LGT_COND,LGT_CONDNAME,WEATHER,WEATHERNAME,SCH_BUS,SCH_BUSNAME,RAIL,RAILNAME,NOT_HOUR,NOT_HOURNAME,NOT_MIN,NOT_MINNAME,ARR_HOUR,ARR_HOURNAME,ARR_MIN,ARR_MINNAME,HOSP_HR,HOSP_HRNAME,HOSP_MN,HOSP_MNNAME,FATALS
41,Oregon,410011,1,1,1,1,0,1,1,39,LANE (39),660,EUGENE,1,January,8,8,1,Sunday,2023,21,9:00pm-9:59pm,19,19,SR-99 W SEVENTH AVE,,3,State Highway,2,Urban,3,Other Principal Arterial,4,City or Municipal Highway Agency,1,This Section IS ON the NHS,0,No Special Jurisdiction,0,,44.05217778,44.05217778,-123.10876667,-123.10876667,8,Pedestrian,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,1,On Roadway,0,,3,Dark - Lighted,10,Cloudy,0,No,0000000,Not Applicable,21,9:00pm-9:59pm,19,19,21,9:00pm-9:59pm,24,24,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1
41,Oregon,410012,0,0,2,2,0,2,2,33,JOSEPHINE (33),860,GRANTS PASS,1,January,10,10,3,Tuesday,2023,17,5:00pm-5:59pm,26,26,SR-99 ODOT 60,FLORENCE LN,3,State Highway,2,Urban,3,Other Principal Arterial,1,State Highway Agency,1,This Section IS ON the NHS,0,No Special Jurisdiction,6,6,42.42359167,42.42359167,-123.32162778,-123.32162778,12,Motor Vehicle In-Transport,6,Angle,0,No,2,Intersection,2,Four-Way Intersection,1,On Roadway,0,,3,Dark - Lighted,2,Rain,0,No,0000000,Not Applicable,17,5:00pm-5:59pm,26,26,17,5:00pm-5:59pm,29,29,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1
41,Oregon,410013,1,1,1,1,0,1,1,19,DOUGLAS (19),0,NOT APPLICABLE,1,January,10,10,3,Tuesday,2023,20,8:00pm-8:59pm,27,27,SR-42 ODOT 35,GRANT SMITH RD,3,State Highway,2,Urban,3,Other Principal Arterial,1,State Highway Agency,1,This Section IS ON the NHS,0,No Special Jurisdiction,762,762,43.14955278,43.14955278,-123.37217222,-123.37217222,9,Pedalcyclist,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,3,Intersection-Related,2,Four-Way Intersection,1,On Roadway,0,,2,Dark - Not Lighted,1,Clear,0,No,0000000,Not Applicable,20,8:00pm-8:59pm,24,24,20,8:00pm-8:59pm,25,25,20,8:00pm-8:59pm,47,47,1
41,Oregon,410014,0,0,3,3,0,4,4,47,MARION (47),0,NOT APPLICABLE,1,January,11,11,4,Wednesday,2023,9,9:00am-9:59am,35,35,SR-214 ODOT 140,DOWNS RD NE,3,State Highway,1,Rural,4,Minor Arterial,1,State Highway Agency,0,This Section IS NOT on the NHS,0,No Special Jurisdiction,479,479,45.04211389,45.04211389,-122.79333611,-122.79333611,12,Motor Vehicle In-Transport,2,Front-to-Front,0,No,2,Intersection,2,Four-Way Intersection,1,On Roadway,0,,1,Daylight,10,Cloudy,0,No,0000000,Not Applicable,9,9:00am-9:59am,35,35,9,9:00am-9:59am,57,57,99,Unknown,99,Unknown EMS Hospital Arrival Time,1
41,Oregon,410015,0,0,3,3,0,3,3,5,CLACKAMAS (5),0,NOT APPLICABLE,1,January,11,11,4,Wednesday,2023,5,5:00am-5:59am,56,56,SR-224 ODOT 171,,3,State Highway,1,Rural,4,Minor Arterial,1,State Highway Agency,0,This Section IS NOT on the NHS,0,No Special Jurisdiction,168,168,45.37021944,45.37021944,-122.37366111,-122.37366111,12,Motor Vehicle In-Transport,2,Front-to-Front,0,No,1,Non-Junction,1,Not an Intersection,1,On Roadway,0,,2,Dark - Not Lighted,1,Clear,0,No,0000000,Not Applicable,5,5:00am-5:59am,56,56,6,6:00am-6:59am,6,6,6,6:00am-6:59am,55,55,1
41,Oregon,410016,0,0,2,2,0,2,2,51,MULTNOMAH (51),1650,PORTLAND,1,January,15,15,1,Sunday,2023,9,9:00am-9:59am,30,30,US-26 ODOT 26,SE 80TH AVE,2,U.S. Highway,2,Urban,3,Other Principal Arterial,1,State Highway Agency,1,This Section IS ON the NHS,0,No Special Jurisdiction,49,49,45.49748333,45.49748333,-122.58089167,-122.58089167,12,Motor Vehicle In-Transport,6,Angle,0,No,2,Intersection,2,Four-Way Intersection,1,On Roadway,0,,1,Daylight,2,Rain,0,No,0000000,Not Applicable,9,9:00am-9:59am,31,31,9,9:00am-9:59am,37,37,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1
41,Oregon,410018,0,0,2,2,0,2,2,71,YAMHILL (71),570,DUNDEE,1,January,19,19,5,Thursday,2023,16,4:00pm-4:59pm,30,30,SR-18 ODOT 39,,3,State Highway,2,Urban,2,Other Freeways and Expressways,1,State Highway Agency,1,This Section IS ON the NHS,0,No Special Jurisdiction,567,567,45.27553889,45.27553889,-122.99876389,-122.99876389,12,Motor Vehicle In-Transport,2,Front-to-Front,0,No,1,Non-Junction,1,Not an Intersection,1,On Roadway,0,,1,Daylight,10,Cloudy,0,No,0000000,Not Applicable,16,4:00pm-4:59pm,33,33,16,4:00pm-4:59pm,43,43,99,Unknown,99,Unknown EMS Hospital Arrival Time,1
41,Oregon,410019,0,0,2,2,0,4,4,13,CROOK (13),0,NOT APPLICABLE,1,January,2,2,2,Monday,2023,16,4:00pm-4:59pm,30,30,SE JUNIPER CANYON RD,,0,Not Signed,1,Rural,5,Major Collector,2,County Highway Agency,0,This Section IS NOT on the NHS,0,No Special Jurisdiction,8,8,44.27012222,44.27012222,-120.81247222,-120.81247222,12,Motor Vehicle In-Transport,2,Front-to-Front,0,No,1,Non-Junction,1,Not an Intersection,1,On Roadway,0,,5,Dusk,1,Clear,0,No,0000000,Not Applicable,16,4:00pm-4:59pm,33,33,16,4:00pm-4:59pm,37,37,17,5:00pm-5:59pm,8,8,2
41,Oregon,410020,0,0,1,1,0,1,1,67,WASHINGTON (67),0,NOT APPLICABLE,1,January,21,21,7,Saturday,2023,14,2:00pm-2:59pm,5,5,SR-47 ODOT 102,,3,State Highway,1,Rural,3,Other Principal Arterial,1,State Highway Agency,1,This Section IS ON the NHS,0,No Special Jurisdiction,866,866,45.56834444,45.56834444,-123.10825556,-123.10825556,34,Ditch,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,4,On Roadside,0,,1,Daylight,1,Clear,0,No,0000000,Not Applicable,14,2:00pm-2:59pm,6,6,14,2:00pm-2:59pm,15,15,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1
41,Oregon,410021,0,0,2,2,0,3,3,39,LANE (39),0,NOT APPLICABLE,1,January,21,21,7,Saturday,2023,10,10:00am-10:59am,6,6,SR-58 ODOT 18,,3,State Highway,1,Rural,3,Other Principal Arterial,1,State Highway Agency,1,This Section IS ON the NHS,0,No Special Jurisdiction,607,607,43.61181389,43.61181389,-122.06327222,-122.06327222,12,Motor Vehicle In-Transport,6,Angle,0,No,1,Non-Junction,1,Not an Intersection,1,On Roadway,0,,1,Daylight,10,Cloudy,0,No,0000000,Not Applicable,10,10:00am-10:59am,6,6,10,10:00am-10:59am,40,40,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),2
41,Oregon,410022,0,0,1,1,0,1,1,47,MARION (47),0,NOT APPLICABLE,1,January,22,22,1,Sunday,2023,12,12:00pm-12:59pm,42,42,SKYLINE RD S,,0,Not Signed,1,Rural,6,Minor Collector,2,County Highway Agency,0,This Section IS NOT on the NHS,0,No Special Jurisdiction,16,16,44.84226667,44.84226667,-123.11276667,-123.11276667,38,Fence,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,4,On Roadside,0,,1,Daylight,1,Clear,0,No,0000000,Not Applicable,12,12:00pm-12:59pm,42,42,12,12:00pm-12:59pm,46,46,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1
41,Oregon,410023,0,0,2,2,0,3,3,17,DESCHUTES (17),0,NOT APPLICABLE,1,January,23,23,2,Monday,2023,9,9:00am-9:59am,17,17,BEAR CREEK RD,BYRAM RD,0,Not Signed,1,Rural,5,Major Collector,2,County Highway Agency,0,This Section IS NOT on the NHS,0,No Special Jurisdiction,0,,44.05120833,44.05120833,-121.19336111,-121.19336111,12,Motor Vehicle In-Transport,6,Angle,0,No,2,Intersection,2,Four-Way Intersection,1,On Roadway,0,,1,Daylight,1,Clear,0,No,0000000,Not Applicable,9,9:00am-9:59am,23,23,9,9:00am-9:59am,30,30,9,9:00am-9:59am,53,53,1
41,Oregon,410024,1,1,1,1,0,1,1,51,MULTNOMAH (51),1650,PORTLAND,1,January,23,23,2,Monday,2023,3,3:00am-3:59am,9,9,SE HOLGATE BLVD,,0,Not Signed,2,Urban,5,Major Collector,4,City or Municipal Highway Agency,0,This Section IS NOT on the NHS,0,No Special Jurisdiction,0,,45.49005,45.49005,-122.56908333,-122.56908333,8,Pedestrian,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,1,On Roadway,0,,3,Dark - Lighted,1,Clear,0,No,0000000,Not Applicable,3,3:00am-3:59am,9,9,3,3:00am-3:59am,13,13,3,3:00am-3:59am,39,39,1
41,Oregon,410025,1,1,1,1,0,2,2,51,MULTNOMAH (51),1650,PORTLAND,1,January,24,24,3,Tuesday,2023,22,10:00pm-10:59pm,13,13,US-26 ODOT 26,SE FOSTER RD,2,U.S. Highway,2,Urban,3,Other Principal Arterial,1,State Highway Agency,1,This Section IS ON the NHS,0,No Special Jurisdiction,34,34,45.49756667,45.49756667,-122.61119167,-122.61119167,8,Pedestrian,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,3,Intersection-Related,2,Four-Way Intersection,1,On Roadway,0,,3,Dark - Lighted,1,Clear,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1
41,Oregon,410026,1,1,4,4,0,7,7,71,YAMHILL (71),0,NOT APPLICABLE,1,January,2,2,2,Monday,2023,19,7:00pm-7:59pm,1,1,SR-18 ODOT 39,,3,State Highway,2,Urban,3,Other Principal Arterial,1,State Highway Agency,1,This Section IS ON the NHS,0,No Special Jurisdiction,432,432,45.18265833,45.18265833,-123.22836944,-123.22836944,8,Pedestrian,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,1,On Roadway,0,,2,Dark - Not Lighted,2,Rain,0,No,0000000,Not Applicable,19,7:00pm-7:59pm,7,7,19,7:00pm-7:59pm,10,10,99,Unknown,99,Unknown EMS Hospital Arrival Time,1
41,Oregon,410028,0,0,1,1,0,1,1,43,LINN (43),0,NOT APPLICABLE,1,January,30,30,2,Monday,2023,9,9:00am-9:59am,22,22,SCRAVEL HILL RD,,0,Not Signed,1,Rural,5,Major Collector,2,County Highway Agency,0,This Section IS NOT on the NHS,0,No Special Jurisdiction,42,42,44.70472222,44.70472222,-123.03151944,-123.03151944,32,Culvert,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,4,On Roadside,0,,1,Daylight,1,Clear,0,No,0000000,Not Applicable,9,9:00am-9:59am,22,22,9,9:00am-9:59am,29,29,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1
41,Oregon,410029,0,0,1,1,0,1,1,1,BAKER (1),0,NOT APPLICABLE,1,January,30,30,2,Monday,2023,4,4:00am-4:59am,33,33,SR-86 ODOT 12,,3,State Highway,1,Rural,5,Major Collector,1,State Highway Agency,0,This Section IS NOT on the NHS,0,No Special Jurisdiction,569,569,44.87732778,44.87732778,-117.04005556,-117.04005556,17,Boulder,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,4,On Roadside,0,,2,Dark - Not Lighted,1,Clear,0,No,0000000,Not Applicable,4,4:00am-4:59am,31,31,4,4:00am-4:59am,48,48,99,Unknown,99,Unknown EMS Hospital Arrival Time,1
41,Oregon,410030,0,0,1,1,0,2,2,29,JACKSON (29),1310,MEDFORD,1,January,29,29,1,Sunday,2023,5,5:00am-5:59am,14,14,E MAIN ST,CRATER LAKE AVE,0,Not Signed,2,Urban,4,Minor Arterial,4,City or Municipal Highway Agency,0,This Section IS NOT on the NHS,0,No Special Jurisdiction,0,,42.32781389,42.32781389,-122.86231389,-122.86231389,33,Curb,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,3,Intersection-Related,3,T-Intersection,4,On Roadside,0,,3,Dark - Lighted,1,Clear,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,99,Unknown,99,Unknown EMS Hospital Arrival Time,1
41,Oregon,410031,0,0,2,2,0,2,2,43,LINN (43),2052,TANGENT,1,January,30,30,2,Monday,2023,14,2:00pm-2:59pm,30,30,SR-99E ODOT 58,,3,State Highway,2,Urban,3,Other Principal Arterial,1,State Highway Agency,1,This Section IS ON the NHS,0,No Special Jurisdiction,76,76,44.55551944,44.55551944,-123.10914722,-123.10914722,12,Motor Vehicle In-Transport,1,Front-to-Rear,0,No,1,Non-Junction,1,Not an Intersection,1,On Roadway,0,,1,Daylight,1,Clear,0,No,0000000,Not Applicable,14,2:00pm-2:59pm,35,35,14,2:00pm-2:59pm,38,38,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1
41,Oregon,410032,0,0,2,2,0,2,2,71,YAMHILL (71),0,NOT APPLICABLE,1,January,30,30,2,Monday,2023,16,4:00pm-4:59pm,47,47,SR-18 ODOT 39,,3,State Highway,2,Urban,3,Other Principal Arterial,1,State Highway Agency,1,This Section IS ON the NHS,0,No Special Jurisdiction,514,514,45.224075,45.224075,-123.082675,-123.082675,12,Motor Vehicle In-Transport,2,Front-to-Front,0,No,1,Non-Junction,1,Not an Intersection,1,On Roadway,0,,1,Daylight,1,Clear,0,No,0000000,Not Applicable,16,4:00pm-4:59pm,27,27,16,4:00pm-4:59pm,30,30,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1
41,Oregon,410033,0,0,2,2,0,5,5,43,LINN (43),0,NOT APPLICABLE,1,January,30,30,2,Monday,2023,19,7:00pm-7:59pm,27,27,SR-226 ODOT 211,,3,State Highway,1,Rural,4,Minor Arterial,1,State Highway Agency,0,This Section IS NOT on the NHS,0,No Special Jurisdiction,41,41,44.63194722,44.63194722,-122.86751111,-122.86751111,12,Motor Vehicle In-Transport,2,Front-to-Front,0,No,1,Non-Junction,1,Not an Intersection,1,On Roadway,0,,2,Dark - Not Lighted,1,Clear,0,No,0000000,Not Applicable,19,7:00pm-7:59pm,27,27,19,7:00pm-7:59pm,32,32,99,Unknown,99,Unknown EMS Hospital Arrival Time,4
41,Oregon,410035,0,0,2,2,0,3,3,43,LINN (43),0,NOT APPLICABLE,1,January,30,30,2,Monday,2023,15,3:00pm-3:59pm,10,10,LYONS MILL CITY DR,,0,Not Signed,1,Rural,5,Major Collector,2,County Highway Agency,0,This Section IS NOT on the NHS,0,No Special Jurisdiction,31,31,44.76301389,44.76301389,-122.55496667,-122.55496667,12,Motor Vehicle In-Transport,2,Front-to-Front,0,No,1,Non-Junction,1,Not an Intersection,1,On Roadway,0,,1,Daylight,1,Clear,0,No,0000000,Not Applicable,15,3:00pm-3:59pm,11,11,15,3:00pm-3:59pm,20,20,99,Unknown,99,Unknown EMS Hospital Arrival Time,1
41,Oregon,410036,0,0,2,2,0,5,5,67,WASHINGTON (67),180,BEAVERTON,2,February,1,1,4,Wednesday,2023,6,6:00am-6:59am,6,6,US-26 ODOT 47 CONN 1,US-26 ODOT 47 CONN 3,2,U.S. Highway,2,Urban,2,Other Freeways and Expressways,1,State Highway Agency,1,This Section IS ON the NHS,0,No Special Jurisdiction,671,671,45.52157222,45.52157222,-122.81576111,-122.81576111,12,Motor Vehicle In-Transport,6,Angle,1,Yes,2,Intersection,2,Four-Way Intersection,1,On Roadway,0,,3,Dark - Lighted,1,Clear,0,No,0000000,Not Applicable,6,6:00am-6:59am,6,6,6,6:00am-6:59am,10,10,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1
41,Oregon,410038,0,0,1,1,0,1,1,19,DOUGLAS (19),0,NOT APPLICABLE,2,February,2,2,5,Thursday,2023,20,8:00pm-8:59pm,34,34,DOLE RD,,0,Not Signed,1,Rural,6,Minor Collector,2,County Highway Agency,0,This Section IS NOT on the NHS,0,No Special Jurisdiction,58,58,43.03201944,43.03201944,-123.30193056,-123.30193056,17,Boulder,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,4,On Roadside,0,,2,Dark - Not Lighted,1,Clear,0,No,0000000,Not Applicable,20,8:00pm-8:59pm,34,34,20,8:00pm-8:59pm,40,40,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1
41,Oregon,410039,1,1,1,1,0,1,1,51,MULTNOMAH (51),0,NOT APPLICABLE,2,February,3,3,6,Friday,2023,2,2:00am-2:59am,2,2,SE ORIENT DR,,0,Not Signed,2,Urban,4,Minor Arterial,2,County Highway Agency,0,This Section IS NOT on the NHS,0,No Special Jurisdiction,0,,45.469425,45.469425,-122.35997778,-122.35997778,8,Pedestrian,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,1,On Roadway,0,,2,Dark - Not Lighted,10,Cloudy,0,No,0000000,Not Applicable,2,2:00am-2:59am,2,2,2,2:00am-2:59am,10,10,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1
