STATE,STATENAME,ST_CASE,VE_TOTAL,VE_FORMS,PVH_INVL,PEDS,PERNOTMVIT,PERMVIT,PERSONS,COUNTY,COUNTYNAME,CITY,CITYNAME,DAY,DAYNAME,MONTH,MONTHNAME,YEAR,DAY_WEEK,DAY_WEEKNAME,HOUR,HOURNAME,MINUTE,MINUTENAME,NHS,NHSNAME,ROUTE,ROUTENAME,TWAY_ID,TWAY_ID2,RUR_URB,RUR_URBNAME,FUNC_SYS,FUNC_SYSNAME,RD_OWNER,RD_OWNERNAME,MILEPT,MILEPTNAME,LATITUDE,LATITUDENAME,LONGITUD,LONGITUDNAME,SP_JUR,SP_JURNAME,HARM_EV,HARM_EVNAME,MAN_COLL,MAN_COLLNAME,RELJCT1,RELJCT1NAME,RELJCT2,RELJCT2NAME,TYP_INT,TYP_INTNAME,WRK_ZONE,WRK_ZONENAME,REL_ROAD,REL_ROADNAME,LGT_COND,LGT_CONDNAME,WEATHER,WEATHERNAME,SCH_BUS,SCH_BUSNAME,RAIL,RAILNAME,NOT_HOUR,NOT_HOURNAME,NOT_MIN,NOT_MINNAME,ARR_HOUR,ARR_HOURNAME,ARR_MIN,ARR_MINNAME,HOSP_HR,HOSP_HRNAME,HOSP_MN,HOSP_MNNAME,FATALS,DRUNK_DR
41,Oregon,410012,1,1,0,1,1,2,2,51,MULTNOMAH (51),880,GRESHAM,14,14,1,January,2020,3,Tuesday,18,6:00pm-6:59pm,56,56,1,This section IS ON the NHS,6,Local Street - Municipality,NE SANDY BLVD,,2,Urban,3,Principal Arterial - Other,4,City or Municipal Highway Agency,0,,45.54477778,45.54477778,-122.45475833,-122.45475833,0,No Special Jurisdiction,8,Pedestrian,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,0,,1,On Roadway,2,Dark - Not Lighted,2,Rain,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,99,Unknown,99,Unknown EMS Hospital Arrival Time,1,0
41,Oregon,410013,2,2,0,0,0,2,2,39,LANE (39),660,EUGENE,16,16,1,January,2020,5,Thursday,7,7:00am-7:59am,13,13,0,This section IS NOT on the NHS,6,Local Street - Municipality,W FIRST AVE,,2,Urban,5,Major Collector,4,City or Municipal Highway Agency,0,,44.05853056,44.05853056,-123.15364167,-123.15364167,0,No Special Jurisdiction,12,Motor Vehicle In-Transport,2,Front-to-Front,0,No,1,Non-Junction,1,Not an Intersection,0,,1,On Roadway,4,Dawn,1,Clear,0,No,0000000,Not Applicable,7,7:00am-7:59am,15,15,7,7:00am-7:59am,19,19,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1,0
41,Oregon,410014,1,1,0,1,1,1,1,47,MARION (47),1810,SALEM,3,3,3,March,2020,3,Tuesday,23,11:00pm-11:59pm,25,25,0,This section IS NOT on the NHS,6,Local Street - Municipality,MCGILCHRIST ST SE,,2,Urban,4,Minor Arterial,4,City or Municipal Highway Agency,0,,44.91665556,44.91665556,-123.01681111,-123.01681111,0,No Special Jurisdiction,8,Pedestrian,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,0,,2,On Shoulder,2,Dark - Not Lighted,1,Clear,0,No,0000000,Not Applicable,23,11:00pm-11:59pm,29,29,23,11:00pm-11:59pm,35,35,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1,0
41,Oregon,410015,1,1,0,0,0,1,1,69,WHEELER (69),0,NOT APPLICABLE,11,11,3,March,2020,4,Wednesday,6,6:00am-6:59am,20,20,0,This section IS NOT on the NHS,3,State Highway,SR-19 ODOT 5,,1,Rural,4,Minor Arterial,1,State Highway Agency,899,899,44.82662778,44.82662778,-119.83374167,-119.83374167,0,No Special Jurisdiction,59,Traffic Sign Support,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,0,,4,On Roadside,4,Dawn,1,Clear,0,No,0000000,Not Applicable,3,3:00am-3:59am,33,33,3,3:00am-3:59am,34,34,99,Unknown,99,Unknown EMS Hospital Arrival Time,1,0
41,Oregon,410016,1,1,0,1,1,1,1,39,LANE (39),690,FLORENCE,17,17,3,March,2020,3,Tuesday,15,3:00pm-3:59pm,27,27,1,This section IS ON the NHS,2,U.S. Highway,US-101 ODOT 9,SR-126 ODOT 62,2,Urban,3,Principal Arterial - Other,1,State Highway Agency,1902,1902,43.97459167,43.97459167,-124.10297778,-124.10297778,0,No Special Jurisdiction,9,Pedalcyclist,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,3,Intersection-Related,2,Four-Way Intersection,1,Construction,1,On Roadway,1,Daylight,1,Clear,0,No,0000000,Not Applicable,15,3:00pm-3:59pm,29,29,15,3:00pm-3:59pm,30,30,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1,0
41,Oregon,410017,2,1,1,0,1,2,3,1,BAKER (1),0,NOT APPLICABLE,19,19,3,March,2020,5,Thursday,6,6:00am-6:59am,55,55,1,This section IS ON the NHS,1,Interstate,I-84,,1,Rural,1,Interstate,1,State Highway Agency,3420,3420,44.432275,44.432275,-117.31878056,-117.31878056,0,No Special Jurisdiction,38,Fence,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,0,,4,On Roadside,4,Dawn,1,Clear,0,No,0000000,Not Applicable,7,7:00am-7:59am,0,0,7,7:00am-7:59am,20,20,99,Unknown,99,Unknown EMS Hospital Arrival Time,1,0
41,Oregon,410018,2,2,0,0,0,2,2,35,KLAMATH (35),0,NOT APPLICABLE,7,7,4,April,2020,3,Tuesday,19,7:00pm-7:59pm,37,37,1,This section IS ON the NHS,2,U.S. Highway,US-97 ODOT 4,,1,Rural,3,Principal Arterial - Other,1,State Highway Agency,2590,2590,42.42335,42.42335,-121.84998056,-121.84998056,0,No Special Jurisdiction,12,Motor Vehicle In-Transport,2,Front-to-Front,0,No,1,Non-Junction,1,Not an Intersection,0,,1,On Roadway,5,Dusk,1,Clear,0,No,0000000,Not Applicable,19,7:00pm-7:59pm,37,37,19,7:00pm-7:59pm,48,48,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1,0
41,Oregon,410019,1,1,0,1,1,1,1,47,MARION (47),1810,SALEM,4,4,1,January,2020,7,Saturday,1,1:00am-1:59am,50,50,0,This section IS NOT on the NHS,6,Local Street - Municipality,HAWTHORNE AVE NE,,2,Urban,4,Minor Arterial,4,City or Municipal Highway Agency,0,,44.93848611,44.93848611,-122.99182778,-122.99182778,0,No Special Jurisdiction,15,Non-Motorist on Personal Conveyance,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,0,,1,On Roadway,3,Dark - Lighted,1,Clear,0,No,0000000,Not Applicable,1,1:00am-1:59am,49,49,1,1:00am-1:59am,55,55,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1,0
41,Oregon,410020,1,1,0,0,0,1,1,49,MORROW (49),0,NOT APPLICABLE,10,10,1,January,2020,6,Friday,18,6:00pm-6:59pm,18,18,0,This section IS NOT on the NHS,3,State Highway,SR-207 ODOT 320,,1,Rural,4,Minor Arterial,1,State Highway Agency,190,190,45.62101389,45.62101389,-119.43498889,-119.43498889,0,No Special Jurisdiction,1,Rollover/Overturn,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,0,,1,On Roadway,2,Dark - Not Lighted,1,Clear,0,No,0000000,Not Applicable,6,6:00am-6:59am,22,22,6,6:00am-6:59am,33,33,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1,1
41,Oregon,410021,1,1,0,1,1,1,1,11,COOS (11),0,NOT APPLICABLE,26,26,1,January,2020,1,Sunday,22,10:00pm-10:59pm,45,45,1,This section IS ON the NHS,2,U.S. Highway,US-101 ODOT 9,,1,Rural,3,Principal Arterial - Other,1,State Highway Agency,2783,2783,43.05531111,43.05531111,-124.41525556,-124.41525556,0,No Special Jurisdiction,8,Pedestrian,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,0,,1,On Roadway,2,Dark - Not Lighted,2,Rain,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1,1
41,Oregon,410022,2,2,0,0,0,5,5,17,DESCHUTES (17),190,BEND,31,31,1,January,2020,6,Friday,18,6:00pm-6:59pm,16,16,1,This section IS ON the NHS,2,U.S. Highway,US-20 ODOT 17,CR-COOLEY RD,2,Urban,3,Principal Arterial - Other,1,State Highway Agency,174,174,44.10921944,44.10921944,-121.31033889,-121.31033889,0,No Special Jurisdiction,12,Motor Vehicle In-Transport,6,Angle,0,No,2,Intersection,2,Four-Way Intersection,0,,1,On Roadway,2,Dark - Not Lighted,10,Cloudy,0,No,0000000,Not Applicable,18,6:00pm-6:59pm,16,16,18,6:00pm-6:59pm,22,22,99,Unknown,99,Unknown EMS Hospital Arrival Time,1,0
41,Oregon,410023,2,2,0,0,0,2,2,19,DOUGLAS (19),0,NOT APPLICABLE,20,20,3,March,2020,6,Friday,18,6:00pm-6:59pm,0,0,0,This section IS NOT on the NHS,3,State Highway,SR-138E ODOT 138,,1,Rural,4,Minor Arterial,1,State Highway Agency,77,77,43.24285,43.24285,-123.22397222,-123.22397222,0,No Special Jurisdiction,12,Motor Vehicle In-Transport,1,Front-to-Rear,0,No,1,Non-Junction,1,Not an Intersection,0,,1,On Roadway,1,Daylight,1,Clear,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,99,Unknown,99,Unknown EMS Hospital Arrival Time,2,0
41,Oregon,410024,6,6,0,0,0,8,8,51,MULTNOMAH (51),880,GRESHAM,24,24,3,March,2020,3,Tuesday,3,3:00am-3:59am,35,35,1,This section IS ON the NHS,1,Interstate,I-84,,2,Urban,1,Interstate,1,State Highway Agency,121,121,45.54057222,45.54057222,-122.462125,-122.462125,0,No Special Jurisdiction,12,Motor Vehicle In-Transport,1,Front-to-Rear,0,No,1,Non-Junction,1,Not an Intersection,0,,1,On Roadway,3,Dark - Lighted,2,Rain,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),2,1
41,Oregon,410025,2,2,0,0,0,4,4,39,LANE (39),0,NOT APPLICABLE,17,17,4,April,2020,6,Friday,17,5:00pm-5:59pm,35,35,0,This section IS NOT on the NHS,3,State Highway,SR-36 ODOT 229,,1,Rural,5,Major Collector,1,State Highway Agency,9,9,44.03173333,44.03173333,-123.85985,-123.85985,0,No Special Jurisdiction,24,Guardrail Face,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,0,,4,On Roadside,1,Daylight,1,Clear,0,No,0000000,Not Applicable,17,5:00pm-5:59pm,41,41,17,5:00pm-5:59pm,56,56,99,Unknown,99,Unknown EMS Hospital Arrival Time,1,2
41,Oregon,410026,3,3,0,0,0,3,3,43,LINN (43),2030,SWEET HOME,16,16,4,April,2020,5,Thursday,19,7:00pm-7:59pm,52,52,1,This section IS ON the NHS,2,U.S. Highway,US-20 ODOT 16,1ST AVE,2,Urban,3,Principal Arterial - Other,1,State Highway Agency,267,267,44.40016111,44.40016111,-122.74235,-122.74235,0,No Special Jurisdiction,12,Motor Vehicle In-Transport,2,Front-to-Front,0,No,2,Intersection,2,Four-Way Intersection,0,,1,On Roadway,1,Daylight,1,Clear,0,No,0000000,Not Applicable,19,7:00pm-7:59pm,53,53,19,7:00pm-7:59pm,55,55,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1,0
41,Oregon,410027,2,2,0,0,0,2,2,47,MARION (47),0,NOT APPLICABLE,16,16,4,April,2020,5,Thursday,6,6:00am-6:59am,57,57,0,This section IS NOT on the NHS,4,County Road,CR-EHLEN RD NE,,1,Rural,4,Minor Arterial,2,County Highway Agency,62,62,45.231125,45.231125,-122.79566389,-122.79566389,0,No Special Jurisdiction,12,Motor Vehicle In-Transport,1,Front-to-Rear,0,No,1,Non-Junction,1,Not an Intersection,0,,1,On Roadway,1,Daylight,1,Clear,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1,0
41,Oregon,410028,1,1,0,0,0,1,1,29,JACKSON (29),0,NOT APPLICABLE,18,18,4,April,2020,7,Saturday,10,10:00am-10:59am,38,38,0,This section IS NOT on the NHS,4,County Road,CR-BUTTE FALLS PROSPECT RD,,1,Rural,5,Major Collector,2,County Highway Agency,9,9,42.545,42.545,-122.54370833,-122.54370833,0,No Special Jurisdiction,42,Tree (Standing Only),0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,0,,4,On Roadside,1,Daylight,1,Clear,0,No,0000000,Not Applicable,10,10:00am-10:59am,38,38,11,11:00am-11:59am,3,3,99,Unknown,99,Unknown EMS Hospital Arrival Time,1,0
41,Oregon,410029,1,1,0,1,1,1,1,5,CLACKAMAS (5),0,NOT APPLICABLE,4,4,3,March,2020,4,Wednesday,6,6:00am-6:59am,34,34,1,This section IS ON the NHS,3,State Highway,SR-22 ODOT 81,SE VINYARD RD,2,Urban,3,Principal Arterial - Other,1,State Highway Agency,87,87,45.40468889,45.40468889,-122.62322778,-122.62322778,0,No Special Jurisdiction,8,Pedestrian,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,3,Intersection-Related,2,Four-Way Intersection,0,,1,On Roadway,1,Daylight,10,Cloudy,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,99,Unknown,99,Unknown EMS Hospital Arrival Time,1,0
41,Oregon,410030,2,2,0,0,0,2,2,47,MARION (47),0,NOT APPLICABLE,18,18,4,April,2020,7,Saturday,9,9:00am-9:59am,40,40,1,This section IS ON the NHS,4,County Road,CR-CORDON RD NE,CR-CENTER ST NE,2,Urban,3,Principal Arterial - Other,2,County Highway Agency,18,18,44.93958889,44.93958889,-122.95936111,-122.95936111,0,No Special Jurisdiction,12,Motor Vehicle In-Transport,6,Angle,0,No,2,Intersection,2,Four-Way Intersection,0,,1,On Roadway,1,Daylight,2,Rain,0,No,0000000,Not Applicable,9,9:00am-9:59am,40,40,9,9:00am-9:59am,46,46,99,Unknown,99,Unknown EMS Hospital Arrival Time,1,0
41,Oregon,410031,2,2,0,0,0,2,2,5,CLACKAMAS (5),0,NOT APPLICABLE,20,20,4,April,2020,2,Monday,15,3:00pm-3:59pm,38,38,0,This section IS NOT on the NHS,4,County Road,CR-SE COALMAN RD,,1,Rural,6,Minor Collector,2,County Highway Agency,16,16,45.39515833,45.39515833,-122.2183,-122.2183,0,No Special Jurisdiction,12,Motor Vehicle In-Transport,2,Front-to-Front,0,No,1,Non-Junction,1,Not an Intersection,0,,1,On Roadway,1,Daylight,1,Clear,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,99,Unknown,99,Unknown EMS Hospital Arrival Time,1,0
41,Oregon,410032,1,1,0,0,0,1,1,39,LANE (39),0,NOT APPLICABLE,23,23,4,April,2020,5,Thursday,15,3:00pm-3:59pm,25,25,0,This section IS NOT on the NHS,4,County Road,CR-CEDAR FLAT TD,,1,Rural,7,Local,2,County Highway Agency,14,14,44.04249444,44.04249444,-122.84042222,-122.84042222,0,No Special Jurisdiction,42,Tree (Standing Only),0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,0,,4,On Roadside,1,Daylight,1,Clear,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1,0
41,Oregon,410033,1,1,0,0,0,1,1,39,LANE (39),0,NOT APPLICABLE,30,30,4,April,2020,5,Thursday,16,4:00pm-4:59pm,56,56,0,This section IS NOT on the NHS,4,County Road,CR-HILLS CREEK RD,,1,Rural,7,Local,2,County Highway Agency,9,9,43.99479444,43.99479444,-122.88437778,-122.88437778,0,No Special Jurisdiction,38,Fence,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,0,,4,On Roadside,1,Daylight,1,Clear,0,No,0000000,Not Applicable,16,4:00pm-4:59pm,54,54,17,5:00pm-5:59pm,0,0,99,Unknown,99,Unknown EMS Hospital Arrival Time,1,0
41,Oregon,410034,3,3,0,0,0,4,4,57,TILLAMOOK (57),0,NOT APPLICABLE,17,17,5,May,2020,1,Sunday,14,2:00pm-2:59pm,9,9,1,This section IS ON the NHS,2,U.S. Highway,US-101 ODOT 9,,2,Urban,3,Principal Arterial - Other,1,State Highway Agency,634,634,45.48972778,45.48972778,-123.84593056,-123.84593056,0,No Special Jurisdiction,12,Motor Vehicle In-Transport,2,Front-to-Front,0,No,1,Non-Junction,1,Not an Intersection,0,,1,On Roadway,1,Daylight,10,Cloudy,0,No,0000000,Not Applicable,14,2:00pm-2:59pm,9,9,14,2:00pm-2:59pm,18,18,99,Unknown,99,Unknown EMS Hospital Arrival Time,2,1
41,Oregon,410035,1,1,0,0,0,1,1,43,LINN (43),0,NOT APPLICABLE,19,19,5,May,2020,3,Tuesday,1,1:00am-1:59am,31,31,1,This section IS ON the NHS,1,Interstate,I-5,,1,Rural,1,Interstate,1,State Highway Agency,2187,2187,44.42014722,44.42014722,-123.06118611,-123.06118611,0,No Special Jurisdiction,24,Guardrail Face,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,0,,4,On Roadside,2,Dark - Not Lighted,10,Cloudy,0,No,0000000,Not Applicable,1,1:00am-1:59am,31,31,1,1:00am-1:59am,41,41,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1,0
