STATE,STATENAME,ST_CASE,VE_TOTAL,VE_FORMS,PVH_INVL,PEDS,PERSONS,PERMVIT,PERNOTMVIT,COUNTY,CITY,DAY,DAYNAME,MONTH,MONTHNAME,YEAR,DAY_WEEK,DAY_WEEKNAME,HOUR,HOURNAME,MINUTE,MINUTENAME,NHS,NHSNAME,ROUTE,ROUTENAME,TWAY_ID,TWAY_ID2,RUR_URB,RUR_URBNAME,FUNC_SYS,FUNC_SYSNAME,RD_OWNER,RD_OWNERNAME,MILEPT,MILEPTNAME,LATITUDE,LATITUDENAME,LONGITUD,LONGITUDNAME,SP_JUR,SP_JURNAME,HARM_EV,HARM_EVNAME,MAN_COLL,MAN_COLLNAME,RELJCT1,RELJCT1NAME,RELJCT2,RELJCT2NAME,TYP_INT,TYP_INTNAME,WRK_ZONE,WRK_ZONENAME,REL_ROAD,REL_ROADNAME,LGT_COND,LGT_CONDNAME,WEATHER1,WEATHER1NAME,WEATHER2,WEATHER2NAME,WEATHER,WEATHERNAME,SCH_BUS,SCH_BUSNAME,RAIL,RAILNAME,NOT_HOUR,NOT_HOURNAME,NOT_MIN,NOT_MINNAME,ARR_HOUR,ARR_HOURNAME,ARR_MIN,ARR_MINNAME,HOSP_HR,HOSP_HRNAME,HOSP_MN,HOSP_MNNAME,CF1,CF1NAME,CF2,CF2NAME,CF3,CF3NAME,FATALS,DRUNK_DR
41,Oregon,410011,1,1,0,1,1,1,1,67,2065,21,21,1,January,2015,4,Wednesday,2,2:00am-2:59am,19,19,1,This section IS ON the NHS,3,State Highway,SR-99W (ODOT 91),,2,Urban,3,Principal Arterial - Other,1,State Highway Agency,79,79,45.44081944,45.44081944,-122.7495528,-122.74955278,0,No Special Jurisdiction,8,Pedestrian,0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,0,,1,On Roadway,3,Dark - Lighted,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,2,2:00am-2:59am,20,20,2,2:00am-2:59am,27,27,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),0,,0,,0,,1,0
41,Oregon,410012,1,1,0,0,1,1,0,39,0,22,22,1,January,2015,5,Thursday,99,Unknown Hours,99,Unknown Minutes,0,This section IS NOT on the NHS,4,County Road,CR-ROW RIVER RD,,1,Rural,6,Minor Collector,2,County Highway Agency,186,186,43.77559722,43.77559722,-122.9197778,-122.91977778,0,No Special Jurisdiction,34,Ditch,0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,0,,4,On Roadside,9,Unknown,99,Unknown,0,No Additional Atmospheric Conditions,99,Unknown,0,No,0000000,Not Applicable,16,4:00pm-4:59pm,56,56,17,5:00pm-5:59pm,30,30,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),0,,0,,0,,1,0
41,Oregon,410013,2,2,0,0,2,2,0,7,80,20,20,1,January,2015,3,Tuesday,16,4:00pm-4:59pm,26,26,1,This section IS ON the NHS,2,U.S. Highway,US-101 (ODOT 9),PORTWAY ST,2,Urban,3,Principal Arterial - Other,1,State Highway Agency,39,39,46.18635833,46.18635833,-123.8555389,-123.85553889,0,No Special Jurisdiction,12,Motor Vehicle In-Transport,6,Angle,0,No,2,Intersection,3,T-Intersection,0,,1,On Roadway,2,Dark - Not Lighted,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,16,4:00pm-4:59pm,26,26,16,4:00pm-4:59pm,31,31,16,4:00pm-4:59pm,56,56,0,,0,,0,,1,0
41,Oregon,410014,1,1,0,2,1,1,2,67,0,22,22,1,January,2015,5,Thursday,19,7:00pm-7:59pm,37,37,0,This section IS NOT on the NHS,4,County Road,CR-SW BARNES RD,CR-SW MONTEREY PL,2,Urban,4,Minor Arterial,2,County Highway Agency,0,,45.50880833,45.50880833,-122.7705222,-122.77052222,0,No Special Jurisdiction,8,Pedestrian,0,Not a Collision with Motor Vehicle In-Transport,0,No,3,Intersection-Related,2,Four-Way Intersection,0,,1,On Roadway,2,Dark - Not Lighted,10,Cloudy,0,No Additional Atmospheric Conditions,10,Cloudy,0,No,0000000,Not Applicable,19,7:00pm-7:59pm,39,39,19,7:00pm-7:59pm,43,43,20,8:00pm-8:59pm,3,3,0,,0,,0,,1,0
41,Oregon,410015,1,1,0,0,3,3,0,47,0,26,26,1,January,2015,2,Monday,18,6:00pm-6:59pm,21,21,0,This section IS NOT on the NHS,4,County Road,CR-HOWELL PRAIRIE RD,,1,Rural,5,Major Collector,2,County Highway Agency,0,,45.07091111,45.07091111,-122.8586,-122.8586,0,No Special Jurisdiction,42,Tree (Standing Only),0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,0,,4,On Roadside,2,Dark - Not Lighted,5,"Fog, Smog, Smoke",0,No Additional Atmospheric Conditions,5,"Fog, Smog, Smoke",0,No,0000000,Not Applicable,18,6:00pm-6:59pm,26,26,18,6:00pm-6:59pm,38,38,99,Unknown,99,Unknown EMS Hospital Arrival Time,20,Police Pursuit Involved,0,,0,,1,0
41,Oregon,410016,3,3,0,0,5,5,0,43,0,26,26,1,January,2015,2,Monday,18,6:00pm-6:59pm,11,11,0,This section IS NOT on the NHS,3,State Highway,SR-99E (ODOT 58),,1,Rural,4,Minor Arterial,1,State Highway Agency,216,216,44.35589444,44.35589444,-123.1084083,-123.10840833,0,No Special Jurisdiction,12,Motor Vehicle In-Transport,2,Front-to-Front,0,No,1,Non-Junction,1,Not an Intersection,0,,1,On Roadway,2,Dark - Not Lighted,5,"Fog, Smog, Smoke",0,No Additional Atmospheric Conditions,5,"Fog, Smog, Smoke",0,No,0000000,Not Applicable,18,6:00pm-6:59pm,13,13,18,6:00pm-6:59pm,19,19,99,Unknown,99,Unknown EMS Hospital Arrival Time,0,,0,,0,,1,0
41,Oregon,410017,2,2,0,0,2,2,0,47,1810,27,27,1,January,2015,3,Tuesday,0,0:00am-0:59am,42,42,1,This section IS ON the NHS,1,Interstate,I-5,,2,Urban,1,Interstate,1,State Highway Agency,2547,2547,44.97880556,44.97880556,-122.9919083,-122.99190833,0,No Special Jurisdiction,12,Motor Vehicle In-Transport,1,Front-to-Rear,0,No,1,Non-Junction,1,Not an Intersection,1,Construction,1,On Roadway,2,Dark - Not Lighted,5,"Fog, Smog, Smoke",0,No Additional Atmospheric Conditions,5,"Fog, Smog, Smoke",0,No,0000000,Not Applicable,0,0:00am-0:59am,50,50,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),0,,0,,0,,1,1
41,Oregon,410018,1,1,0,0,1,1,0,37,0,27,27,1,January,2015,3,Tuesday,14,2:00pm-2:59pm,1,1,0,This section IS NOT on the NHS,4,County Road,CR-FORT ROCK RD,,1,Rural,5,Major Collector,2,County Highway Agency,0,,43.34090833,43.34090833,-120.9388139,-120.93881389,0,No Special Jurisdiction,1,Rollover/Overturn,0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,0,,4,On Roadside,1,Daylight,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,14,2:00pm-2:59pm,9,9,14,2:00pm-2:59pm,28,28,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),0,,0,,0,,1,0
41,Oregon,410019,1,1,0,0,1,1,0,19,0,29,29,1,January,2015,5,Thursday,16,4:00pm-4:59pm,42,42,1,This section IS ON the NHS,1,Interstate,I-5,,1,Rural,1,Interstate,1,State Highway Agency,1100,1100,43.03313056,43.03313056,-123.3250722,-123.32507222,0,No Special Jurisdiction,20,Impact Attenuator/Crash Cushion,0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,0,,4,On Roadside,1,Daylight,10,Cloudy,0,No Additional Atmospheric Conditions,10,Cloudy,0,No,0000000,Not Applicable,16,4:00pm-4:59pm,52,52,16,4:00pm-4:59pm,48,48,17,5:00pm-5:59pm,22,22,0,,0,,0,,1,0
41,Oregon,410020,3,3,0,0,4,4,0,39,1150,29,29,1,January,2015,5,Thursday,6,6:00am-6:59am,50,50,0,This section IS NOT on the NHS,3,State Highway,SR-99W (ODOT 91),,2,Urban,4,Minor Arterial,1,State Highway Agency,1134,1134,44.16872778,44.16872778,-123.2014889,-123.20148889,0,No Special Jurisdiction,12,Motor Vehicle In-Transport,2,Front-to-Front,0,No,1,Non-Junction,1,Not an Intersection,0,,1,On Roadway,4,Dawn,5,"Fog, Smog, Smoke",0,No Additional Atmospheric Conditions,5,"Fog, Smog, Smoke",0,No,0000000,Not Applicable,6,6:00am-6:59am,53,53,7,7:00am-7:59am,0,0,99,Unknown,99,Unknown EMS Hospital Arrival Time,0,,0,,0,,2,0
41,Oregon,410021,2,2,0,0,3,3,0,39,0,29,29,1,January,2015,5,Thursday,8,8:00am-8:59am,39,39,0,This section IS NOT on the NHS,4,County Road,CR-PRAIRIE RD,CR-MEADOWVIEW RD,1,Rural,5,Major Collector,2,County Highway Agency,0,,44.14962778,44.14962778,-123.1772306,-123.17723056,0,No Special Jurisdiction,12,Motor Vehicle In-Transport,6,Angle,0,No,2,Intersection,3,T-Intersection,0,,1,On Roadway,1,Daylight,10,Cloudy,5,"Fog, Smog, Smoke",5,"Fog, Smog, Smoke",0,No,0000000,Not Applicable,8,8:00am-8:59am,39,39,8,8:00am-8:59am,45,45,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),0,,0,,0,,1,0
41,Oregon,410022,1,1,0,0,1,1,0,19,0,30,30,1,January,2015,6,Friday,10,10:00am-10:59am,0,0,0,This section IS NOT on the NHS,8,Other,GOLD CREEK RD,,1,Rural,7,Local,68,Bureau of Land Management,45,45,43.86203889,43.86203889,-123.7191333,-123.71913333,0,No Special Jurisdiction,42,Tree (Standing Only),0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,0,,4,On Roadside,1,Daylight,98,Not Reported,0,No Additional Atmospheric Conditions,98,Not Reported,0,No,0000000,Not Applicable,10,10:00am-10:59am,14,14,11,11:00am-11:59am,38,38,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),0,,0,,0,,1,0
41,Oregon,410023,1,1,0,0,1,1,0,5,0,30,30,1,January,2015,6,Friday,17,5:00pm-5:59pm,50,50,0,This section IS NOT on the NHS,4,County Road,CR-S CENTRAL POINT RD,,1,Rural,4,Minor Arterial,2,County Highway Agency,0,,45.30551111,45.30551111,-122.6255667,-122.62556667,0,No Special Jurisdiction,42,Tree (Standing Only),0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,0,,4,On Roadside,2,Dark - Not Lighted,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,17,5:00pm-5:59pm,51,51,17,5:00pm-5:59pm,57,57,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),0,,0,,0,,1,1
41,Oregon,410024,1,1,0,1,3,3,1,67,180,5,5,2,February,2015,5,Thursday,18,6:00pm-6:59pm,54,54,0,This section IS NOT on the NHS,6,Local Street - Municipality,SW ALLEN BLVD,,2,Urban,4,Minor Arterial,4,City or Municipal Highway Agency,0,,45.47650278,45.47650278,-122.8033417,-122.80334167,0,No Special Jurisdiction,8,Pedestrian,0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,0,,1,On Roadway,2,Dark - Not Lighted,2,Rain,0,No Additional Atmospheric Conditions,2,Rain,0,No,0000000,Not Applicable,18,6:00pm-6:59pm,55,55,18,6:00pm-6:59pm,59,59,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),0,,0,,0,,1,0
41,Oregon,410025,2,2,0,1,2,2,1,51,1650,5,5,2,February,2015,5,Thursday,3,3:00am-3:59am,36,36,1,This section IS ON the NHS,1,Interstate,I-205,,2,Urban,1,Interstate,1,State Highway Agency,197,197,45.50509167,45.50509167,-122.5651194,-122.56511944,0,No Special Jurisdiction,8,Pedestrian,0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,0,,1,On Roadway,3,Dark - Lighted,2,Rain,0,No Additional Atmospheric Conditions,2,Rain,0,No,0000000,Not Applicable,3,3:00am-3:59am,36,36,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),0,,0,,0,,1,0
41,Oregon,410026,1,1,0,1,1,1,1,67,1000,5,5,2,February,2015,5,Thursday,23,11:00pm-11:59pm,0,0,1,This section IS ON the NHS,6,Local Street - Municipality,SW OAK ST,SW BAILEY ST,2,Urban,3,Principal Arterial - Other,1,State Highway Agency,134,134,45.51889722,45.51889722,-122.9928722,-122.99287222,0,No Special Jurisdiction,8,Pedestrian,0,Not a Collision with Motor Vehicle In-Transport,0,No,3,Intersection-Related,3,T-Intersection,0,,1,On Roadway,3,Dark - Lighted,2,Rain,0,No Additional Atmospheric Conditions,2,Rain,0,No,0000000,Not Applicable,23,11:00pm-11:59pm,0,0,23,11:00pm-11:59pm,4,4,23,11:00pm-11:59pm,46,46,0,,0,,0,,1,0
41,Oregon,410027,2,2,0,0,3,3,0,53,0,8,8,2,February,2015,1,Sunday,16,4:00pm-4:59pm,15,15,1,This section IS ON the NHS,3,State Highway,SR-22W (ODOT 30),,1,Rural,3,Principal Arterial - Other,1,State Highway Agency,59,59,45.00799444,45.00799444,-123.4023028,-123.40230278,0,No Special Jurisdiction,12,Motor Vehicle In-Transport,2,Front-to-Front,0,No,1,Non-Junction,1,Not an Intersection,0,,1,On Roadway,1,Daylight,2,Rain,0,No Additional Atmospheric Conditions,2,Rain,0,No,0000000,Not Applicable,16,4:00pm-4:59pm,51,51,17,5:00pm-5:59pm,40,40,18,6:00pm-6:59pm,3,3,0,,0,,0,,1,0
41,Oregon,410028,2,2,0,0,2,2,0,47,0,9,9,2,February,2015,2,Monday,8,8:00am-8:59am,20,20,0,This section IS NOT on the NHS,4,County Road,CR-ARNDT RD NE,,1,Rural,4,Minor Arterial,2,County Highway Agency,11,11,45.25955278,45.25955278,-122.7431444,-122.74314444,0,No Special Jurisdiction,12,Motor Vehicle In-Transport,6,Angle,0,No,1,Non-Junction,1,Not an Intersection,0,,2,On Shoulder,1,Daylight,2,Rain,0,No Additional Atmospheric Conditions,2,Rain,0,No,0000000,Not Applicable,8,8:00am-8:59am,19,19,8,8:00am-8:59am,32,32,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),0,,0,,0,,1,0
41,Oregon,410029,1,1,0,1,1,1,1,39,660,9,9,2,February,2015,2,Monday,10,10:00am-10:59am,19,19,0,This section IS NOT on the NHS,6,Local Street - Municipality,OAK ST,E 20TH AVE,2,Urban,4,Minor Arterial,4,City or Municipal Highway Agency,0,,44.03790278,44.03790278,-123.0912389,-123.09123889,0,No Special Jurisdiction,8,Pedestrian,0,Not a Collision with Motor Vehicle In-Transport,0,No,3,Intersection-Related,10,L-Intersection,0,,1,On Roadway,1,Daylight,2,Rain,0,No Additional Atmospheric Conditions,2,Rain,0,No,0000000,Not Applicable,10,10:00am-10:59am,19,19,10,10:00am-10:59am,24,24,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),0,,0,,0,,1,0
41,Oregon,410030,1,1,0,1,1,1,1,67,2065,16,16,2,February,2015,2,Monday,15,3:00pm-3:59pm,2,2,1,This section IS ON the NHS,3,State Highway,SR-99W (ODOT 91),SW HALL BLVD,2,Urban,3,Principal Arterial - Other,1,State Highway Agency,88,88,45.43403056,45.43403056,-122.7649083,-122.76490833,0,No Special Jurisdiction,8,Pedestrian,0,Not a Collision with Motor Vehicle In-Transport,0,No,3,Intersection-Related,2,Four-Way Intersection,0,,1,On Roadway,1,Daylight,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,15,3:00pm-3:59pm,3,3,15,3:00pm-3:59pm,5,5,15,3:00pm-3:59pm,46,46,0,,0,,0,,1,0
41,Oregon,410031,1,1,0,0,2,2,0,5,0,16,16,2,February,2015,2,Monday,0,0:00am-0:59am,3,3,0,This section IS NOT on the NHS,4,County Road,CR-SE JENNINGS AVE,,2,Urban,4,Minor Arterial,2,County Highway Agency,8,8,45.39798611,45.39798611,-122.5993944,-122.59939444,0,No Special Jurisdiction,30,Utility Pole/Light Support,0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,0,,4,On Roadside,2,Dark - Not Lighted,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,0,0:00am-0:59am,4,4,0,0:00am-0:59am,8,8,0,0:00am-0:59am,50,50,0,,0,,0,,1,1
41,Oregon,410032,1,1,0,1,1,1,1,43,20,17,17,2,February,2015,3,Tuesday,17,5:00pm-5:59pm,41,41,0,This section IS NOT on the NHS,6,Local Street - Municipality,RIVERSIDE DR,,2,Urban,4,Minor Arterial,4,City or Municipal Highway Agency,0,,44.61743333,44.61743333,-123.1314944,-123.13149444,0,No Special Jurisdiction,24,Guardrail Face,0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,0,,4,On Roadside,5,Dusk,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,17,5:00pm-5:59pm,41,41,17,5:00pm-5:59pm,45,45,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),0,,0,,0,,1,0
41,Oregon,410033,1,1,0,0,1,1,0,39,0,17,17,2,February,2015,3,Tuesday,13,1:00pm-1:59pm,55,55,0,This section IS NOT on the NHS,4,County Road,CR-MCGOWEN CREEK RD,,1,Rural,7,Local,2,County Highway Agency,20,20,44.14759722,44.14759722,-122.9451722,-122.94517222,0,No Special Jurisdiction,42,Tree (Standing Only),0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,0,,4,On Roadside,1,Daylight,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,13,1:00pm-1:59pm,55,55,14,2:00pm-2:59pm,13,13,99,Unknown,99,Unknown EMS Hospital Arrival Time,0,,0,,0,,1,1
41,Oregon,410034,1,1,0,0,1,1,0,39,0,18,18,2,February,2015,4,Wednesday,7,7:00am-7:59am,9,9,0,This section IS NOT on the NHS,4,County Road,CR-CROW RD,,1,Rural,5,Major Collector,2,County Highway Agency,49,49,44.00683056,44.00683056,-123.2615722,-123.26157222,0,No Special Jurisdiction,31,"Other Post, Other Pole or Other Supports",0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,0,,5,Outside Trafficway,4,Dawn,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,7,7:00am-7:59am,9,9,7,7:00am-7:59am,19,19,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),0,,0,,0,,1,1
